InChIkey,Solvent,MW,SASA,G_sol,DeltaG_sol,Volume,sol_dip,LsoluHsolv,LsolvHsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,LogS
WPYMKLBDIGXBTP-FZOZFQFYNA-N,3-methyl-1-butanol,122.123,151.267,-20837.828,-1106.828650000003,156.553,6.49041,9.331,13.149,-1.09385,-0.1096099999999999,-0.61008,0.66434,-1.09385,0.158362492
WNLRTRBMVRJNCN-AUDIXQRPNA-N,water,146.143,184.571,-23742.418,-735.940526315786,177.172,2.77781,11.916,15.562,-2.23029,0.08408,-0.62636,0.67299,-2.23029,-0.805004188
BXRFQSNOROATLV-UHFFFAOYNA-N,acetonitrile,151.121,171.355,-22002.224,584.3189999999959,167.055,4.6856100000000005,10.735,11.879,-1.55777,-0.19615,-0.54211,0.84657,-0.7111999999999999,0.046974629
KDYFGRWQOYBRFD-AOTPWWKUNA-N,ethanol,118.089,140.94,-20975.114,-181.0625714285743,167.055,4.6856100000000005,10.388000000000002,14.661,-2.17174,0.5993900000000001,-0.60446,0.66166,-2.17174,-0.483723064
JDCMOHAFGDQQJX-UHFFFAOYNA-N,chloroform,272.097,214.933,-25519.336000000003,119.3861999999972,228.338,0.00208222,9.252,9.085,0.0,0.64718,-0.08712,0.12248,-0.64718,0.419232128
YVUQSNJEYSNKRX-VJSLDGLSNA-N,1-hexanol,461.553,472.341,-39420.698,-360.6951249999984,228.338,0.00208222,9.964,11.528,-0.64606,-2.63555,-0.64606,0.63254,-2.10114,-1.579878376
BBEAQIROQSPTKN-UHFFFAOYNA-N,acetophenone,202.255,222.477,-22117.99,-9.881014925369527,228.338,0.00208222,8.532,7.664000000000001,0.0,-1.66446,-0.17855,0.16799,0.0,-0.037587539
LDHQCZJRKDOVOX-GSMIJIFMNA-N,water,86.0902,125.316,-19290.48,-238.0689999999995,108.875,4.9339,11.305,14.832,-1.13483,-0.16037,-0.64663,0.69973,-1.13483,0.009340889
QUEKGYQTRJVEQC-KZFATGLANA-N,2-methyl-1-propanol,201.566,196.512,-24528.132,-1020.2506086956492,108.875,4.9339,8.312,13.548,-2.04859,0.2503499999999999,-0.57603,0.86748,-1.21993,-0.200659451
FAOHQGXEASKQDL-AHPDCHJINA-N,chloroform,215.685,249.184,-28782.74399999999,-2753.7225454545405,108.875,4.9339,10.498,9.017,0.0,-0.1440099999999999,-0.55075,0.48973,-2.33604,-0.617982957
IIUZTXTZRGLYTI-LKUJNTHKNA-N,peg400,354.787,336.18,-36671.514,-1368.7839999999997,395.863,11.6818,8.727,10.663,-2.60664,-0.7308199999999998,-0.64266,0.63285,-2.63865,-0.162
WURBFLDFSFBTLW-UHFFFAOYNA-N,"3,7-dimethyl-1-octanol",210.232,239.808,-25885.548,-874.9022040816308,247.703,0.0018849,8.577000000000002,12.944,-0.99802,-0.67572,-0.49903,0.44465,-0.99802,-1.044687107
PJANXHGTPQOBST-VAWYXSNFNA-N,p-xylene,180.249,233.278,-24116.276,-682.9097777777788,235.521,0.00225258,8.331000000000001,9.288,0.0,-1.84165,-0.185,0.15616,0.0,-0.295156753
ACWBQPMHZXGDFX-XGLYSIDGNA-N,acetonitrile,435.525,418.166,-41316.41,-557.752800000002,235.521,0.00225258,11.919,10.849,-1.74594,-2.37672,-0.65253,0.64144,-2.6968,-0.555043456
GJCOSYZMQJWQCA-UHFFFAOYNA-N,hexane,182.221,210.426,-22604.31,-595.9295121951218,218.229,1.66053,10.906,13.111,-0.34716,-1.26953,-0.34716,0.26228,-0.34716,-0.638272164
HLNDPICGHQGWSU-UHFFFAOYNA-N,toluene,330.337,347.748,-36878.96400000001,-1138.7215000000142,218.229,1.66053,8.365,9.534,-2.74853,-0.77637,-0.63059,0.60828,-2.74853,-0.7739211268404256
BSYNRYMUTXBXSQ-WXRBYKJCNA-N,acetonitrile,180.16,198.544,-25262.874,-1088.592150000004,206.149,4.2566,11.611,11.608,-2.08288,0.32708,-0.61205,0.71573,-2.08288,-0.474446902
GJCOSYZMQJWQCA-UHFFFAOYNA-N,"2,2,4-trimethylpentane",182.221,210.426,-22572.076,-563.695512195125,206.149,4.2566,10.683,12.874,-0.34716,-1.26952,-0.34716,0.26228,-0.34716,-0.823908741
VPHHJAOJUJHJKD-KZFATGLANA-N,2-ethoxyethanol,191.013,187.66,-24556.98,-2909.306969696961,189.242,0.293942,8.376999999999999,12.216,-1.0666,0.2375099999999999,-0.59043,0.6648,-1.1777,-0.349071296
JTEGQNOMFQHVDC-IRNSGEEPNA-N,water,229.253,234.024,-26301.172,-540.5663999999888,189.242,0.293942,11.08,13.536,-1.69563,0.9145,-0.65322,0.71649,-3.34804,0.568577518
ZEYHEAKUIGZSGI-BGGKNDAXNA-N,1-hexanol,152.149,180.521,-23363.908,-1877.386068965516,178.095,3.62555,9.579,12.521,-1.48271,-0.0968699999999999,-0.61942,0.68291,-1.48271,-1.0
ILUJQPXNXACGAN-BGGKNDAXNA-N,1-octanol,152.149,178.697,-23620.332,-736.6597837837871,178.095,3.62555,9.625,12.353000000000002,-1.4710100000000002,-0.0748599999999999,-0.60179,0.69742,-1.4710100000000002,-0.522878745
MNIPYSSQXLZQLJ-UYBDAZJANA-N,chloroform,354.189,320.785,-33793.116,-697.5469999999987,384.689,1.11954,10.813,8.11,-1.97437,-0.13185,-0.56606,0.66423,-2.52832,-1.022276395
WURBFLDFSFBTLW-UHFFFAOYNA-N,toluene,210.232,239.885,-26372.29,-1361.6442040816328,384.689,1.11954,7.704999999999999,10.482,-0.95659,-0.68218,-0.4783,0.43003,-0.95659,0.1
BXAOUWIVXLQYOZ-SPEPDGBUNA-N,benzene,443.542,446.341,-45130.23800000001,-544.8718666666828,567.002,1.67975,9.46,9.962,-2.5271,-2.16745,-0.60888,0.72809,-3.83001,-2.22184875
FFGPTBGBLSHEPO-ZHLVXTBQNA-N,trifluoroethanol,236.273,250.059,-28532.784,-2677.628999999997,276.277,5.47822,10.681,9.943,-0.6771,-0.67314,-0.6771,0.69455,-1.61376,-0.686970713
YRHRIQCWCFGUEQ-UHFFFAOYNA-N,2-methyl-2-propanol,212.266,221.762,-24665.708,-1472.617178571429,236.332,3.13348,9.164,12.138,-0.58834,-0.79606,-0.58834,0.58994,-0.5993499999999999,-2.160276341
MTSJLRXXXJHLDI-VEORKLDJNA-N,acetonitrile,501.578,481.252,-46249.826,-868.734000000004,236.332,3.13348,12.078,10.428,-3.39397,-1.89791,-0.64744,0.73449,-4.6808,-1.397940009
